N,jax_ms_per_step,uniqx_ms_per_step
32,21.723819660001027,56.99185982000927
40,28.15931968001678,114.49701069999719
48,69.02519814000698,296.2003839799945
56,160.9052246000283,623.0438742600018
64,280.21400527999504,1324.8041687799923
