N,jax_ms_per_step,uniqx_compiled_ms_per_step
32,17.922358439973323,54.41057126001397
40,36.9411446799495,116.7585747600242
48,99.85671538001043,283.53431731993624
56,160.5412914599583,565.9090496199497
64,374.98681099998066,1188.5146146600164
