N,jax_ms_per_step,uniqx_cuquantum_ms_per_step
32,17.001651259997743,51.975262019986985
40,30.90724847999809,110.77758145998814
48,90.13903543993365,287.45048746000975
56,170.67638566004462,602.2314412999549
64,396.64528953995614,1284.4793664000463
