N,jax_ms_per_step,uniqx_blabla_ms_per_step
32,19.282224260023213,54.41428061996703
40,31.664531819988046,113.73080024000956
48,149.62096653995104,289.81296956000733
56,208.51555495995854,591.7387200599478
64,516.3673319000372,1181.7192137600068
