N,jax_ms_per_step,uniqx_Auto_ms_per_step
32,22.89443272005883,54.20132063998608
40,32.21213489996444,117.74000379999052
48,85.34156318004534,289.47874953999417
56,216.4973822599859,588.7460169399856
64,374.0991703200416,1208.9319058399997
