N,jax_ms_per_step,uniqx_qsim_ms_per_step
32,16.429527460059035,56.4315498599899
40,32.551234399943496,180.73974554004963
48,85.49969289997534,283.2446802800405
56,184.32762643999013,573.5559193399968
64,381.16896961997554,1196.6162740800064
